,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,time,mlups,bandwidth,compute
80,H100,CUDA Explicit Memory,1663,1,1,1024,2,double,308.263,5.52422,0.0441938,724.071
81,H100,CUDA Explicit Memory,1782,1,1,1024,2,double,308.175,5.9212,0.0473696,776.103
82,H100,CUDA Explicit Memory,1910,1,1,1024,2,double,308.18,6.34643,0.0507714,831.839
83,H100,CUDA Explicit Memory,2048,1,1,1024,2,double,308.197,6.80457,0.0544366,891.889
84,H100,CUDA Explicit Memory,2194,1,1,1024,2,double,308.266,7.28805,0.0583044,955.26
85,H100,CUDA Explicit Memory,2352,1,1,1024,2,double,308.362,7.81044,0.0624836,1023.73
86,H100,CUDA Explicit Memory,2521,1,1,1024,2,double,308.247,8.3748,0.0669984,1097.7
87,H100,CUDA Explicit Memory,2702,1,1,1024,2,double,308.224,8.97674,0.0718139,1176.6
88,H100,CUDA Explicit Memory,2896,1,1,1024,2,double,308.21,9.62169,0.0769736,1261.13
89,H100,CUDA Explicit Memory,3104,1,1,1024,2,double,308.283,10.3103,0.0824825,1351.39
90,H100,CUDA Explicit Memory,3326,1,1,1024,2,double,308.227,11.0497,0.0883979,1448.31
91,H100,CUDA Explicit Memory,3565,1,1,1024,2,double,308.242,11.8432,0.0947452,1552.31
92,H100,CUDA Explicit Memory,3821,1,1,1024,2,double,308.313,12.6907,0.101526,1663.4
93,H100,CUDA Explicit Memory,4096,1,1,1024,2,double,308.246,13.607,0.108856,1783.5
94,H100,CUDA Explicit Memory,4389,1,1,1024,2,double,308.417,14.5723,0.116578,1910.02
95,H100,CUDA Explicit Memory,4705,1,1,1024,2,double,308.267,15.629,0.125032,2048.53
96,H100,CUDA Explicit Memory,5042,1,1,1024,2,double,308.307,16.7463,0.133971,2194.98
97,H100,CUDA Explicit Memory,5404,1,1,1024,2,double,308.285,17.9499,0.143599,2352.73
98,H100,CUDA Explicit Memory,5792,1,1,1024,2,double,308.442,19.2289,0.153831,2520.37
99,H100,CUDA Explicit Memory,6208,1,1,1024,2,double,308.435,20.6105,0.164884,2701.45
100,H100,CUDA Explicit Memory,6653,1,1,1024,2,double,308.301,22.0975,0.17678,2896.36
101,H100,CUDA Explicit Memory,7131,1,1,1024,2,double,308.448,23.6738,0.18939,3102.97
102,H100,CUDA Explicit Memory,7643,1,1,1024,2,double,308.265,25.3886,0.203109,3327.74
103,H100,CUDA Explicit Memory,8192,1,1,1024,2,double,308.273,27.2116,0.217693,3566.68
104,H100,CUDA Explicit Memory,8779,1,1,1024,2,double,308.276,29.1612,0.233289,3822.21
105,H100,CUDA Explicit Memory,9410,1,1,1024,2,double,308.327,31.252,0.250016,4096.27
106,H100,CUDA Explicit Memory,10085,1,1,1024,2,double,308.275,33.4995,0.267996,4390.84
