,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,time,mlups,bandwidth,compute
163,A40,CUDA Explicit Memory,524288,1,1,512,2,double,61711.9,4.34981,0.0347985,570.139
164,A40,CUDA Explicit Memory,561917,1,1,512,2,double,66648.8,4.31668,0.0345334,565.796
165,A40,CUDA Explicit Memory,602248,1,1,512,2,double,70818.1,4.35412,0.034833,570.704
166,A40,CUDA Explicit Memory,645474,1,1,512,2,double,76522.5,4.31876,0.0345501,566.069
167,A40,CUDA Explicit Memory,691802,1,1,512,2,double,81459.8,4.34819,0.0347855,569.926
168,A40,CUDA Explicit Memory,741455,1,1,512,2,double,86397.6,4.39393,0.0351514,575.921
169,A40,CUDA Explicit Memory,794672,1,1,512,2,double,91333.5,4.45479,0.0356383,583.899
170,A40,CUDA Explicit Memory,851708,1,1,512,2,double,98738.9,4.41644,0.0353315,578.872
171,A40,CUDA Explicit Memory,912838,1,1,512,2,double,106144.0,4.40318,0.0352255,577.134
172,A40,CUDA Explicit Memory,978356,1,1,512,2,double,113549.0,4.41145,0.0352916,578.218
173,A40,CUDA Explicit Memory,1048576,1,1,128,2,double,30238.7,4.4386,0.0355088,581.777
174,A40,CUDA Explicit Memory,2,1,1,1024,2,float,158.103,0.0129536,5.18143e-05,1.69785
175,A40,CUDA Explicit Memory,3,1,1,1024,2,float,158.135,0.0194265,7.7706e-05,2.54627
176,A40,CUDA Explicit Memory,4,1,1,1024,2,float,158.102,0.0259073,0.000103629,3.39572
177,A40,CUDA Explicit Memory,5,1,1,1024,2,float,158.146,0.0323752,0.000129501,4.24348
178,A40,CUDA Explicit Memory,6,1,1,1024,2,float,158.133,0.0388534,0.000155414,5.0926
179,A40,CUDA Explicit Memory,7,1,1,1024,2,float,158.147,0.0453249,0.0001813,5.94083
180,A40,CUDA Explicit Memory,8,1,1,1024,2,float,158.093,0.0518177,0.000207271,6.79185
181,A40,CUDA Explicit Memory,9,1,1,1024,2,float,158.169,0.058267,0.000233068,7.63717
182,A40,CUDA Explicit Memory,10,1,1,1024,2,float,158.136,0.0647542,0.000259017,8.48747
183,A40,CUDA Explicit Memory,11,1,1,1024,2,float,158.091,0.0712499,0.000285,9.33886
184,A40,CUDA Explicit Memory,12,1,1,1024,2,float,158.086,0.0777299,0.00031092,10.1882
185,A40,CUDA Explicit Memory,13,1,1,1024,2,float,158.11,0.0841946,0.000336778,11.0355
186,A40,CUDA Explicit Memory,14,1,1,1024,2,float,158.092,0.0906813,0.000362725,11.8858
187,A40,CUDA Explicit Memory,16,1,1,1024,2,float,158.092,0.103636,0.000414545,13.5838
188,A40,CUDA Explicit Memory,17,1,1,1024,2,float,158.086,0.110118,0.00044047,14.4333
189,A40,CUDA Explicit Memory,18,1,1,1024,2,float,158.104,0.116581,0.000466325,15.2806
190,A40,CUDA Explicit Memory,19,1,1,1024,2,float,158.114,0.123051,0.000492202,16.1285
191,A40,CUDA Explicit Memory,21,1,1,1024,2,float,158.092,0.136022,0.000544088,17.8287
192,A40,CUDA Explicit Memory,22,1,1,1024,2,float,158.089,0.142502,0.00057001,18.6781
193,A40,CUDA Explicit Memory,24,1,1,1024,2,float,158.102,0.155444,0.000621776,20.3743
194,A40,CUDA Explicit Memory,25,1,1,1024,2,float,158.093,0.16193,0.000647721,21.2245
195,A40,CUDA Explicit Memory,27,1,1,1024,2,float,158.078,0.174901,0.000699604,22.9246
196,A40,CUDA Explicit Memory,29,1,1,1024,2,float,158.108,0.18782,0.000751282,24.618
197,A40,CUDA Explicit Memory,32,1,1,1024,2,float,158.103,0.207257,0.000829027,27.1655
198,A40,CUDA Explicit Memory,34,1,1,1024,2,float,158.083,0.220239,0.000880958,28.8672
199,A40,CUDA Explicit Memory,36,1,1,1024,2,float,158.099,0.233171,0.000932683,30.5622
200,A40,CUDA Explicit Memory,39,1,1,1024,2,float,158.132,0.252549,0.0010102,33.1021
201,A40,CUDA Explicit Memory,42,1,1,1024,2,float,158.109,0.272015,0.00108806,35.6535
