,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,stride,time,mlups,bandwidth,compute
65,A100-SXM4-80GB,CUDA Explicit Memory,588,1,1,1024,2,double,1,386.982,1.55592,0.0124473,203.937
66,A100-SXM4-80GB,CUDA Explicit Memory,630,1,1,1024,2,double,1,387.037,1.66682,0.0133345,218.473
67,A100-SXM4-80GB,CUDA Explicit Memory,675,1,1,1024,2,double,1,386.975,1.78616,0.0142893,234.116
68,A100-SXM4-80GB,CUDA Explicit Memory,724,1,1,1024,2,double,1,386.945,1.91597,0.0153278,251.13
69,A100-SXM4-80GB,CUDA Explicit Memory,776,1,1,1024,2,double,1,386.975,2.05343,0.0164274,269.147
70,A100-SXM4-80GB,CUDA Explicit Memory,831,1,1,1024,2,double,1,387.055,2.19851,0.0175881,288.163
71,A100-SXM4-80GB,CUDA Explicit Memory,891,1,1,1024,2,double,1,387.089,2.35704,0.0188563,308.942
72,A100-SXM4-80GB,CUDA Explicit Memory,955,1,1,1024,2,double,1,386.954,2.52723,0.0202178,331.249
73,A100-SXM4-80GB,CUDA Explicit Memory,1024,1,1,1024,2,double,1,386.807,2.71085,0.0216868,355.317
74,A100-SXM4-80GB,CUDA Explicit Memory,1097,1,1,1024,2,double,1,386.768,2.9044,0.0232352,380.685
75,A100-SXM4-80GB,CUDA Explicit Memory,1176,1,1,1024,2,double,1,386.842,3.11296,0.0249037,408.022
76,A100-SXM4-80GB,CUDA Explicit Memory,1260,1,1,1024,2,double,1,386.821,3.3355,0.026684,437.191
77,A100-SXM4-80GB,CUDA Explicit Memory,1351,1,1,1024,2,double,1,387.032,3.57444,0.0285955,468.509
78,A100-SXM4-80GB,CUDA Explicit Memory,1448,1,1,1024,2,double,1,386.898,3.83241,0.0306593,502.321
79,A100-SXM4-80GB,CUDA Explicit Memory,1552,1,1,1024,2,double,1,387.022,4.10635,0.0328508,538.227
80,A100-SXM4-80GB,CUDA Explicit Memory,1663,1,1,1024,2,double,1,386.977,4.40055,0.0352044,576.789
81,A100-SXM4-80GB,CUDA Explicit Memory,1782,1,1,1024,2,double,1,387.052,4.71453,0.0377162,617.943
82,A100-SXM4-80GB,CUDA Explicit Memory,1910,1,1,1024,2,double,1,386.979,5.05412,0.040433,662.454
83,A100-SXM4-80GB,CUDA Explicit Memory,2048,1,1,1024,2,double,1,386.847,5.42114,0.0433691,710.56
84,A100-SXM4-80GB,CUDA Explicit Memory,2194,1,1,1024,2,double,1,386.985,5.80553,0.0464443,760.943
85,A100-SXM4-80GB,CUDA Explicit Memory,2352,1,1,1024,2,double,1,386.763,6.22719,0.0498175,816.21
86,A100-SXM4-80GB,CUDA Explicit Memory,2521,1,1,1024,2,double,1,386.81,6.67384,0.0533907,874.753
87,A100-SXM4-80GB,CUDA Explicit Memory,2702,1,1,1024,2,double,1,386.949,7.15042,0.0572034,937.22
88,A100-SXM4-80GB,CUDA Explicit Memory,2896,1,1,1024,2,double,1,386.844,7.66589,0.0613271,1004.78
89,A100-SXM4-80GB,CUDA Explicit Memory,3104,1,1,1024,2,double,1,386.714,8.21924,0.0657539,1077.31
90,A100-SXM4-80GB,CUDA Explicit Memory,3326,1,1,1024,2,double,1,386.85,8.804,0.070432,1153.96
91,A100-SXM4-80GB,CUDA Explicit Memory,3565,1,1,1024,2,double,1,386.709,9.44008,0.0755206,1237.33
92,A100-SXM4-80GB,CUDA Explicit Memory,3821,1,1,1024,2,double,1,386.717,10.1177,0.0809419,1326.15
93,A100-SXM4-80GB,CUDA Explicit Memory,4096,1,1,1024,2,double,1,386.935,10.8398,0.0867185,1420.8
94,A100-SXM4-80GB,CUDA Explicit Memory,4389,1,1,1024,2,double,1,386.844,11.6179,0.0929436,1522.79
95,A100-SXM4-80GB,CUDA Explicit Memory,4705,1,1,1024,2,double,1,386.637,12.4611,0.0996888,1633.3
96,A100-SXM4-80GB,CUDA Explicit Memory,5042,1,1,1024,2,double,1,386.811,13.3476,0.106781,1749.5
97,A100-SXM4-80GB,CUDA Explicit Memory,5404,1,1,1024,2,double,1,387.083,14.2959,0.114367,1873.79
98,A100-SXM4-80GB,CUDA Explicit Memory,5792,1,1,1024,2,double,1,387.068,15.3229,0.122583,2008.41
99,A100-SXM4-80GB,CUDA Explicit Memory,6208,1,1,1024,2,double,1,386.877,16.4315,0.131452,2153.71
100,A100-SXM4-80GB,CUDA Explicit Memory,6653,1,1,1024,2,double,1,387.076,17.6004,0.140803,2306.91
101,A100-SXM4-80GB,CUDA Explicit Memory,7131,1,1,1024,2,double,1,387.175,18.86,0.15088,2472.02
102,A100-SXM4-80GB,CUDA Explicit Memory,7643,1,1,1024,2,double,1,387.208,20.2125,0.1617,2649.29
103,A100-SXM4-80GB,CUDA Explicit Memory,8192,1,1,1024,2,double,1,387.189,21.6654,0.173323,2839.73
104,A100-SXM4-80GB,CUDA Explicit Memory,8779,1,1,1024,2,double,1,387.306,23.2108,0.185687,3042.29
