,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,time,mlups,bandwidth,compute
77,A100-SXM4-80GB,CUDA Explicit Memory,1351,1,1,1024,2,double,2.58806,534.541,8.55265,0.534541
78,A100-SXM4-80GB,CUDA Explicit Memory,1448,1,1,1024,2,double,2.57738,575.294,9.20471,0.575294
79,A100-SXM4-80GB,CUDA Explicit Memory,1552,1,1,1024,2,double,2.66588,596.145,9.53832,0.596145
80,A100-SXM4-80GB,CUDA Explicit Memory,1663,1,1,1024,2,double,2.642,644.555,10.3129,0.644555
81,A100-SXM4-80GB,CUDA Explicit Memory,1782,1,1,1024,2,double,2.60058,701.678,11.2269,0.701678
82,A100-SXM4-80GB,CUDA Explicit Memory,1910,1,1,1024,2,double,2.57413,759.805,12.1569,0.759805
83,A100-SXM4-80GB,CUDA Explicit Memory,2048,1,1,1024,2,double,2.59981,806.655,12.9065,0.806655
84,A100-SXM4-80GB,CUDA Explicit Memory,2194,1,1,1024,2,double,2.58117,870.403,13.9264,0.870403
85,A100-SXM4-80GB,CUDA Explicit Memory,2352,1,1,1024,2,double,2.58521,931.627,14.906,0.931627
86,A100-SXM4-80GB,CUDA Explicit Memory,2521,1,1,1024,2,double,2.88524,894.728,14.3156,0.894728
87,A100-SXM4-80GB,CUDA Explicit Memory,2702,1,1,1024,2,double,3.04976,907.236,14.5158,0.907236
88,A100-SXM4-80GB,CUDA Explicit Memory,2896,1,1,1024,2,double,2.58123,1148.87,18.382,1.14887
89,A100-SXM4-80GB,CUDA Explicit Memory,3104,1,1,1024,2,double,2.70503,1175.03,18.8005,1.17503
90,A100-SXM4-80GB,CUDA Explicit Memory,3326,1,1,1024,2,double,2.65088,1284.79,20.5567,1.28479
91,A100-SXM4-80GB,CUDA Explicit Memory,3565,1,1,1024,2,double,2.67802,1363.16,21.8105,1.36316
92,A100-SXM4-80GB,CUDA Explicit Memory,3821,1,1,1024,2,double,2.60542,1501.76,24.0281,1.50176
93,A100-SXM4-80GB,CUDA Explicit Memory,4096,1,1,1024,2,double,2.62011,1600.82,25.613,1.60082
94,A100-SXM4-80GB,CUDA Explicit Memory,4389,1,1,1024,2,double,2.67187,1682.1,26.9135,1.6821
95,A100-SXM4-80GB,CUDA Explicit Memory,4705,1,1,1024,2,double,2.82395,1706.09,27.2975,1.70609
96,A100-SXM4-80GB,CUDA Explicit Memory,5042,1,1,1024,2,double,2.67894,1927.26,30.8361,1.92726
97,A100-SXM4-80GB,CUDA Explicit Memory,5404,1,1,1024,2,double,2.6219,2110.57,33.7691,2.11057
98,A100-SXM4-80GB,CUDA Explicit Memory,5792,1,1,1024,2,double,2.9754,1993.35,31.8936,1.99335
99,A100-SXM4-80GB,CUDA Explicit Memory,6208,1,1,1024,2,double,2.97835,2134.4,34.1504,2.1344
100,A100-SXM4-80GB,CUDA Explicit Memory,6653,1,1,1024,2,double,2.76691,2462.19,39.3951,2.46219
101,A100-SXM4-80GB,CUDA Explicit Memory,7131,1,1,1024,2,double,2.99631,2437.05,38.9928,2.43705
102,A100-SXM4-80GB,CUDA Explicit Memory,7643,1,1,1024,2,double,2.66199,2940.07,47.0412,2.94007
103,A100-SXM4-80GB,CUDA Explicit Memory,8192,1,1,1024,2,double,2.77278,3025.35,48.4056,3.02535
104,A100-SXM4-80GB,CUDA Explicit Memory,8779,1,1,1024,2,double,2.7204,3304.55,52.8728,3.30455
105,A100-SXM4-80GB,CUDA Explicit Memory,9410,1,1,1024,2,double,2.72571,3535.16,56.5626,3.53516
106,A100-SXM4-80GB,CUDA Explicit Memory,10085,1,1,1024,2,double,2.7948,3695.09,59.1215,3.69509
107,A100-SXM4-80GB,CUDA Explicit Memory,10809,1,1,1024,2,double,2.80671,3943.55,63.0969,3.94355
108,A100-SXM4-80GB,CUDA Explicit Memory,11585,1,1,1024,2,double,2.69947,4394.58,70.3133,4.39458
109,A100-SXM4-80GB,CUDA Explicit Memory,12416,1,1,1024,2,double,2.70841,4694.27,75.1083,4.69427
110,A100-SXM4-80GB,CUDA Explicit Memory,13307,1,1,1024,2,double,2.68635,5072.44,81.1591,5.07244
111,A100-SXM4-80GB,CUDA Explicit Memory,14263,1,1,1024,2,double,3.21061,4549.08,72.7852,4.54908
112,A100-SXM4-80GB,CUDA Explicit Memory,15286,1,1,1024,2,double,2.97976,5253.05,84.0489,5.25305
113,A100-SXM4-80GB,CUDA Explicit Memory,16384,1,1,1024,2,double,2.71713,6174.6,98.7936,6.1746
