,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,stride_read,stride_write,time,mlups,bandwidth,compute
68,A40,CUDA Explicit Memory,724,1,1,1024,2,double,1,1,2.29249,323.394,5.1743,0.323394
69,A40,CUDA Explicit Memory,776,1,1,1024,2,double,1,1,2.30475,344.777,5.51642,0.344777
70,A40,CUDA Explicit Memory,831,1,1,1024,2,double,1,1,2.3137,367.785,5.88456,0.367785
71,A40,CUDA Explicit Memory,891,1,1,1024,2,double,1,1,2.31152,394.711,6.31538,0.394711
72,A40,CUDA Explicit Memory,955,1,1,1024,2,double,1,1,2.28064,428.791,6.86066,0.428791
73,A40,CUDA Explicit Memory,1024,1,1,1024,2,double,1,1,2.27354,461.208,7.37933,0.461208
74,A40,CUDA Explicit Memory,1097,1,1,1024,2,double,1,1,2.29975,488.456,7.8153,0.488456
75,A40,CUDA Explicit Memory,1176,1,1,1024,2,double,1,1,2.27286,529.827,8.47724,0.529827
76,A40,CUDA Explicit Memory,1260,1,1,1024,2,double,1,1,2.30411,559.973,8.95957,0.559973
77,A40,CUDA Explicit Memory,1351,1,1,1024,2,double,1,1,2.29519,602.748,9.64398,0.602748
78,A40,CUDA Explicit Memory,1448,1,1,1024,2,double,1,1,2.31408,640.753,10.252,0.640753
79,A40,CUDA Explicit Memory,1552,1,1,1024,2,double,1,1,2.30944,688.153,11.0104,0.688153
80,A40,CUDA Explicit Memory,1663,1,1,1024,2,double,1,1,2.30619,738.408,11.8145,0.738408
81,A40,CUDA Explicit Memory,1782,1,1,1024,2,double,1,1,2.2738,802.518,12.8403,0.802518
82,A40,CUDA Explicit Memory,1910,1,1,1024,2,double,1,1,2.31301,845.584,13.5293,0.845584
83,A40,CUDA Explicit Memory,2048,1,1,1024,2,double,1,1,2.27466,921.961,14.7514,0.921961
84,A40,CUDA Explicit Memory,2194,1,1,1024,2,double,1,1,2.33868,960.649,15.3704,0.960649
85,A40,CUDA Explicit Memory,2352,1,1,1024,2,double,1,1,2.29239,1050.63,16.8101,1.05063
86,A40,CUDA Explicit Memory,2521,1,1,1024,2,double,1,1,2.30895,1118.04,17.8887,1.11804
87,A40,CUDA Explicit Memory,2702,1,1,1024,2,double,1,1,2.27908,1214.02,19.4243,1.21402
88,A40,CUDA Explicit Memory,2896,1,1,1024,2,double,1,1,2.27531,1303.34,20.8534,1.30334
89,A40,CUDA Explicit Memory,3104,1,1,1024,2,double,1,1,2.26403,1403.91,22.4625,1.40391
90,A40,CUDA Explicit Memory,3326,1,1,1024,2,double,1,1,2.32287,1466.22,23.4595,1.46622
91,A40,CUDA Explicit Memory,3565,1,1,1024,2,double,1,1,2.29292,1592.1,25.4736,1.5921
92,A40,CUDA Explicit Memory,3821,1,1,1024,2,double,1,1,2.30913,1694.45,27.1112,1.69445
93,A40,CUDA Explicit Memory,4096,1,1,1024,2,double,1,1,2.32332,1805.31,28.8849,1.80531
94,A40,CUDA Explicit Memory,4389,1,1,1024,2,double,1,1,2.3086,1946.78,31.1485,1.94678
95,A40,CUDA Explicit Memory,4705,1,1,1024,2,double,1,1,2.32261,2074.36,33.1898,2.07436
96,A40,CUDA Explicit Memory,5042,1,1,1024,2,double,1,1,2.30442,2240.48,35.8477,2.24048
97,A40,CUDA Explicit Memory,5404,1,1,1024,2,double,1,1,2.31742,2387.87,38.206,2.38787
98,A40,CUDA Explicit Memory,5792,1,1,1024,2,double,1,1,2.33203,2543.28,40.6925,2.54328
99,A40,CUDA Explicit Memory,6208,1,1,1024,2,double,1,1,2.28426,2782.95,44.5272,2.78295
100,A40,CUDA Explicit Memory,6653,1,1,1024,2,double,1,1,2.3313,2922.26,46.7562,2.92226
101,A40,CUDA Explicit Memory,7131,1,1,1024,2,double,1,1,2.30102,3173.43,50.7749,3.17343
102,A40,CUDA Explicit Memory,7643,1,1,1024,2,double,1,1,2.2956,3409.31,54.549,3.40931
103,A40,CUDA Explicit Memory,8192,1,1,1024,2,double,1,1,2.29175,3660.36,58.5657,3.66036
104,A40,CUDA Explicit Memory,8779,1,1,1024,2,double,1,1,2.28774,3929.51,62.8722,3.92951
105,A40,CUDA Explicit Memory,9410,1,1,1024,2,double,1,1,2.30693,4176.92,66.8307,4.17692
106,A40,CUDA Explicit Memory,10085,1,1,1024,2,double,1,1,2.31391,4463.03,71.4085,4.46303
107,A40,CUDA Explicit Memory,10809,1,1,1024,2,double,1,1,2.32056,4769.72,76.3154,4.76972
108,A40,CUDA Explicit Memory,11585,1,1,1024,2,double,1,1,2.31079,5133.76,82.1401,5.13376
109,A40,CUDA Explicit Memory,12416,1,1,1024,2,double,1,1,2.31029,5503.2,88.0511,5.5032
110,A40,CUDA Explicit Memory,13307,1,1,1024,2,double,1,1,2.286,5960.8,95.3728,5.9608
111,A40,CUDA Explicit Memory,14263,1,1,1024,2,double,1,1,2.25311,6482.28,103.716,6.48228
112,A40,CUDA Explicit Memory,15286,1,1,1024,2,double,1,1,2.26951,6897.01,110.352,6.89701
113,A40,CUDA Explicit Memory,16384,1,1,1024,2,double,1,1,2.31773,7238.65,115.818,7.23865
114,A40,CUDA Explicit Memory,17559,1,1,1024,2,double,1,1,2.33475,7701.22,123.22,7.70122
115,A40,CUDA Explicit Memory,18820,1,1,1024,2,double,1,1,2.33498,8253.48,132.056,8.25348
116,A40,CUDA Explicit Memory,20171,1,1,1024,2,double,1,1,2.34292,8815.96,141.055,8.81596
117,A40,CUDA Explicit Memory,21618,1,1,1024,2,double,1,1,2.32168,9534.82,152.557,9.53482
118,A40,CUDA Explicit Memory,23170,1,1,1024,2,double,1,1,2.31857,10233.1,163.729,10.2331
119,A40,CUDA Explicit Memory,24833,1,1,1024,2,double,1,1,2.34303,10853.0,173.648,10.853
120,A40,CUDA Explicit Memory,26615,1,1,1024,2,double,1,1,2.33179,11687.9,187.006,11.6879
121,A40,CUDA Explicit Memory,28526,1,1,1024,2,double,1,1,2.30383,12679.2,202.867,12.6792
122,A40,CUDA Explicit Memory,30573,1,1,1024,2,double,1,1,2.27637,13752.9,220.047,13.7529
123,A40,CUDA Explicit Memory,32768,1,1,1024,2,double,1,1,2.26201,14833.9,237.342,14.8339
124,A40,CUDA Explicit Memory,35119,1,1,1024,2,double,1,1,2.26902,15849.0,253.585,15.849
125,A40,CUDA Explicit Memory,37640,1,1,1024,2,double,1,1,2.32839,16553.7,264.859,16.5537
126,A40,CUDA Explicit Memory,40342,1,1,1024,2,double,1,1,2.30641,17911.0,286.576,17.911
127,A40,CUDA Explicit Memory,43237,1,1,1024,2,double,1,1,2.31572,19119.2,305.907,19.1192
128,A40,CUDA Explicit Memory,46340,1,1,1024,2,double,1,1,2.20958,21475.6,343.61,21.4756
129,A40,CUDA Explicit Memory,49667,1,1,1024,2,double,1,1,2.25712,22532.7,360.523,22.5327
130,A40,CUDA Explicit Memory,53231,1,1,1024,2,double,1,1,2.31263,23570.0,377.12,23.57
131,A40,CUDA Explicit Memory,57052,1,1,1024,2,double,1,1,2.29601,25444.6,407.114,25.4446
132,A40,CUDA Explicit Memory,61147,1,1,1024,2,double,1,1,2.27072,27574.8,441.197,27.5748
133,A40,CUDA Explicit Memory,65536,1,1,1024,2,double,1,1,2.29698,29216.2,467.459,29.2162
134,A40,CUDA Explicit Memory,70239,1,1,1024,2,double,1,1,2.35304,30566.7,489.067,30.5667
135,A40,CUDA Explicit Memory,75281,1,1,1024,2,double,1,1,2.37552,32451.0,519.215,32.451
136,A40,CUDA Explicit Memory,80684,1,1,1024,2,double,1,1,2.40805,34310.1,548.962,34.3101
137,A40,CUDA Explicit Memory,86475,1,1,1024,2,double,1,1,2.4697,35854.7,573.675,35.8547
138,A40,CUDA Explicit Memory,92681,1,1,1024,2,double,1,1,2.49022,38111.2,609.779,38.1112
139,A40,CUDA Explicit Memory,99334,1,1,1024,2,double,1,1,2.51791,40397.7,646.364,40.3977
140,A40,CUDA Explicit Memory,106463,1,1,1024,2,double,1,1,2.53828,42949.6,687.193,42.9496
141,A40,CUDA Explicit Memory,114104,1,1,1024,2,double,1,1,2.59386,45045.9,720.734,45.0459
142,A40,CUDA Explicit Memory,122294,1,1,1024,2,double,1,1,2.61824,47829.4,765.271,47.8294
143,A40,CUDA Explicit Memory,131072,1,1,1024,2,double,1,1,2.6375,50888.2,814.212,50.8882
144,A40,CUDA Explicit Memory,140479,1,1,1024,2,double,1,1,2.65964,54086.4,865.383,54.0864
145,A40,CUDA Explicit Memory,150562,1,1,1024,2,double,1,1,2.6996,57110.6,913.769,57.1106
146,A40,CUDA Explicit Memory,161368,1,1,1024,2,double,1,1,2.74816,60127.8,962.046,60.1278
147,A40,CUDA Explicit Memory,172950,1,1,1024,2,double,1,1,2.82586,62671.6,1002.75,62.6716
148,A40,CUDA Explicit Memory,185363,1,1,1024,2,double,1,1,2.91097,65205.8,1043.29,65.2058
149,A40,CUDA Explicit Memory,198668,1,1,1024,2,double,1,1,3.0075,67642.9,1082.29,67.6429
150,A40,CUDA Explicit Memory,212927,1,1,1024,2,double,1,1,3.04945,71500.6,1144.01,71.5006
151,A40,CUDA Explicit Memory,228209,1,1,1024,2,double,1,1,3.15161,74148.2,1186.37,74.1482
152,A40,CUDA Explicit Memory,244589,1,1,1024,2,double,1,1,3.22183,77738.1,1243.81,77.7381
153,A40,CUDA Explicit Memory,262144,1,1,1024,2,double,1,1,3.28288,81768.3,1308.29,81.7683
154,A40,CUDA Explicit Memory,280958,1,1,1024,2,double,1,1,3.40394,84520.1,1352.32,84.5201
155,A40,CUDA Explicit Memory,301124,1,1,1024,2,double,1,1,3.47674,88689.6,1419.03,88.6896
156,A40,CUDA Explicit Memory,322737,1,1,1024,2,double,1,1,3.54108,93328.4,1493.25,93.3284
157,A40,CUDA Explicit Memory,345901,1,1,1024,2,double,1,1,3.76894,93979.2,1503.67,93.9792
158,A40,CUDA Explicit Memory,370727,1,1,1024,2,double,1,1,4.36732,86924.0,1390.78,86.924
159,A40,CUDA Explicit Memory,397336,1,1,1024,2,double,1,1,5.05229,80532.2,1288.52,80.5322
160,A40,CUDA Explicit Memory,425854,1,1,1024,2,double,1,1,5.74543,75899.4,1214.39,75.8994
161,A40,CUDA Explicit Memory,456419,1,1,1024,2,double,1,1,6.54616,71396.5,1142.34,71.3965
162,A40,CUDA Explicit Memory,489178,1,1,1024,2,double,1,1,8.49752,58948.7,943.18,58.9487
163,A40,CUDA Explicit Memory,524288,1,1,512,2,double,1,1,5.10372,52596.1,841.537,52.5961
164,A40,CUDA Explicit Memory,561917,1,1,512,2,double,1,1,6.21847,46265.6,740.25,46.2656
165,A40,CUDA Explicit Memory,602248,1,1,512,2,double,1,1,7.55503,40814.0,653.024,40.814
166,A40,CUDA Explicit Memory,645474,1,1,512,2,double,1,1,8.60672,38398.2,614.372,38.3982
167,A40,CUDA Explicit Memory,691802,1,1,512,2,double,1,1,9.52287,37195.0,595.119,37.195
168,A40,CUDA Explicit Memory,741455,1,1,512,2,double,1,1,10.4358,36377.1,582.034,36.3771
169,A40,CUDA Explicit Memory,794672,1,1,512,2,double,1,1,11.3257,35924.8,574.796,35.9248
170,A40,CUDA Explicit Memory,851708,1,1,512,2,double,1,1,12.3616,35276.4,564.423,35.2764
171,A40,CUDA Explicit Memory,912838,1,1,512,2,double,1,1,13.2392,35302.1,564.834,35.3021
172,A40,CUDA Explicit Memory,978356,1,1,512,2,double,1,1,14.0816,35572.7,569.162,35.5727
173,A40,CUDA Explicit Memory,1048576,1,1,128,2,double,1,1,3.73992,35887.9,574.206,35.8879
174,A40,CUDA Explicit Memory,1123835,1,1,128,2,double,1,1,3.96281,36300.2,580.803,36.3002
175,A40,CUDA Explicit Memory,1204497,1,1,128,2,double,1,1,4.1488,37161.5,594.584,37.1615
176,A40,CUDA Explicit Memory,1290948,1,1,128,2,double,1,1,4.42445,37347.3,597.557,37.3473
177,A40,CUDA Explicit Memory,1383604,1,1,128,2,double,1,1,4.79323,36948.2,591.172,36.9482
178,A40,CUDA Explicit Memory,1482910,1,1,128,2,double,1,1,5.1011,37210.1,595.362,37.2101
179,A40,CUDA Explicit Memory,1589344,1,1,128,2,double,1,1,5.35756,37971.7,607.548,37.9717
180,A40,CUDA Explicit Memory,1703416,1,1,128,2,double,1,1,5.8002,37591.3,601.461,37.5913
181,A40,CUDA Explicit Memory,1825676,1,1,128,2,double,1,1,6.1832,37793.8,604.7,37.7938
182,A40,CUDA Explicit Memory,1956712,1,1,128,2,double,1,1,6.56004,38179.5,610.873,38.1795
183,A40,CUDA Explicit Memory,2097152,1,1,32,2,double,1,1,1.75407,38258.9,612.142,38.2589
184,A40,CUDA Explicit Memory,2247671,1,1,32,2,double,1,1,1.8837,38183.2,610.931,38.1832
185,A40,CUDA Explicit Memory,2408995,1,1,32,2,double,1,1,2.00167,38511.8,616.189,38.5118
186,A40,CUDA Explicit Memory,2581896,1,1,32,2,double,1,1,2.13457,38706.0,619.296,38.706
187,A40,CUDA Explicit Memory,2767208,1,1,32,2,double,1,1,2.27635,38900.3,622.405,38.9003
188,A40,CUDA Explicit Memory,2965820,1,1,32,2,double,1,1,2.444,38832.3,621.316,38.8323
189,A40,CUDA Explicit Memory,3178688,1,1,32,2,double,1,1,2.60264,39082.6,625.321,39.0826
190,A40,CUDA Explicit Memory,3406833,1,1,32,2,double,1,1,2.78527,39141.2,626.259,39.1412
191,A40,CUDA Explicit Memory,3651353,1,1,32,2,double,1,1,2.97819,39232.9,627.727,39.2329
192,A40,CUDA Explicit Memory,3913424,1,1,32,2,double,1,1,3.18365,39335.2,629.363,39.3352
193,A40,CUDA Explicit Memory,4194304,1,1,8,2,double,1,1,0.85247,39361.4,629.783,39.3614
194,A40,CUDA Explicit Memory,4495343,1,1,8,2,double,1,1,0.915488,39282.6,628.522,39.2826
195,A40,CUDA Explicit Memory,4817990,1,1,8,2,double,1,1,0.978197,39403.0,630.448,39.403
196,A40,CUDA Explicit Memory,5163793,1,1,8,2,double,1,1,1.04432,39557.1,632.914,39.5571
197,A40,CUDA Explicit Memory,5534417,1,1,8,2,double,1,1,1.12005,39530.0,632.479,39.53
198,A40,CUDA Explicit Memory,5931641,1,1,8,2,double,1,1,1.19858,39591.0,633.456,39.591
199,A40,CUDA Explicit Memory,6357376,1,1,8,2,double,1,1,1.28436,39598.9,633.582,39.5989
200,A40,CUDA Explicit Memory,6813666,1,1,8,2,double,1,1,1.37063,39769.6,636.314,39.7696
201,A40,CUDA Explicit Memory,7302707,1,1,8,2,double,1,1,1.46389,39908.4,638.535,39.9084
202,A40,CUDA Explicit Memory,7826848,1,1,8,2,double,1,1,1.56904,39906.4,638.502,39.9064
